Title,Release Year,Rating,Genre,Country
The King of Queens,1998,7.3,Comedy,USA
This Country,2017,8.5,Comedy,UK
Dragon Ball Super,2017,8.4,Animation| Action| Adventure| Comedy| Family| Fantasy| Sci-Fi,Japan
Dragon Ball,1995,8.5,Animation| Action| Adventure| Fantasy| Sci-Fi| Thriller,Japan
Mutt & Stuff,2015,6.0,Family,USA
A Place to Call Home,2014,8.3,Drama,Australia
Alfred Alfer,2006,7.3,Animation,USA
Still the King,2016,5.8,Comedy,USA
Kim Possible,2002,7.2,Animation| Action| Adventure| Comedy| Family| Mystery| Romance| Sci-Fi,USA
Süper Baba,1993,8.8,Drama| Comedy| Family,Turkey
Intelligence,2014,6.9,Action| Drama| Sci-Fi| Thriller,USA
Platonic,2011,8.3,Comedy,USA
Boy Meets World,1993,8.1,Comedy| Drama| Family,USA
The Mighty Boosh,2003,8.3,Comedy| Fantasy| Musical,UK
A pèl,2001,5.3,Comedy,Spain
Wizards of Waverly Place,2007,6.8,Adventure| Comedy| Drama| Family| Fantasy,USA
Highston,2015,7.5,Comedy,USA
Lake Life,2014,8.7,Reality-TV,USA
Masters of Horror,2005,7.5,Horror,Canada
Eagles,2019,7.5,Drama| Romance| Sport,Sweden
G&T webserie,2012,8.7,Comedy| Drama,Italy
South of Hell,2015,5.4,Drama| Fantasy| Horror| Thriller,USA
Pretenders,2002,9.2,Adventure| Comedy| Mystery,Argentina
The Food Hospital,2011,8.4,Reality-TV,UK
Hawaii Five-0,2010,7.3,Action| Crime| Drama,USA
Dallas & Robo,2018,6.5,Animation| Comedy| Sci-Fi,USA
Over There,2005,7.8,Action| Drama| War,USA
The Gentlemen's League,2010,7.2,Comedy,USA
The Flash,2014,7.7,Action| Adventure| Drama| Sci-Fi,USA
Inuyasha,2002,7.9,Animation| Action| Adventure| Comedy| Drama| Fantasy| Romance,Japan
Innocent,2018,7.4,Crime| Drama| Mystery,UK
Penny on M.A.R.S.,2018,7.0,Family,Italy
Breakfast,2000,5.3,Family| News| Talk-Show,UK
Wolverine and the X-Men,2009,8.0,Animation| Action| Adventure| Drama| Sci-Fi,USA
CSI: Crime Scene Investigation,2000,7.6,Crime| Drama| Mystery| Thriller,USA
The Unit,2006,8.1,Action| Drama| Thriller| War,USA
The Voice,2011,6.6,Game-Show| Music| Reality-TV,USA
Whitney,2011,5.7,Comedy,USA
The 4400,2004,7.3,Drama| Mystery| Sci-Fi| Thriller,USA
Shahrzad,2015,8.2,Crime| Drama| History| Romance,Iran
Foster's Home for Imaginary Friends,2004,7.6,Animation| Adventure| Comedy| Family| Fantasy,USA
Why? With Hannibal Buress,2015,5.2,Comedy,USA
Grachi,2011,6.2,Family| Fantasy,USA
Dragon Ball Z Kai,2009,8.2,Animation| Action| Adventure| Comedy| Fantasy| Sci-Fi,Japan
Jericho,2006,7.9,Action| Drama| Mystery| Sci-Fi,USA
Steven and Chris,2008,6.7,Talk-Show,Canada
The Daily Blade,2000,1.1,Drama,Canada
We Hunt Together,2020,6.7,Crime| Drama| Thriller,UK
Naked and Afraid,2013,6.6,Adventure| Reality-TV,USA
Launch,1994,8.0,Action| Comedy,USA
Upstart Crow,2016,7.5,Comedy| History,UK
Rolonda,1994,5.9,Talk-Show,USA
Wolven,2012,6.1,Action| Crime| Drama,Belgium
Earth to Ned,2020,7.3,Comedy| Talk-Show,USA
The Beagles,1966,5.4,Animation| Comedy| Family,USA
Toast of London,2012,8.2,Comedy,UK
Presten,2017,7.5,Comedy,Norway
Innocente,2016,6.7,Crime| Drama| Mystery| Thriller,France
A Suitable Boy,2020,6.3,Drama| Romance,UK
Free!,2013,7.4,Animation| Comedy| Drama| Sport,Japan
Imaginary Friends,1987,5.8,Comedy,UK
Trackers,2020,6.3,Crime| Drama| Thriller,South Africa
Great Pretender,2020,8.1,Animation| Adventure| Comedy| Crime,Japan
Party Over Here,2016,3.7,Comedy,USA
Dallas,1978,7.0,Drama| Romance,USA
The Good Karma Hospital,2017,7.8,Drama,UK
Helt sort,2019,7.8,Documentary,Denmark
Nuts & Bolts,2017,7.8,Documentary,USA
Flying Witch,2016,7.2,Animation| Comedy| Fantasy,Japan
Breakfast Lunch & Dinner,2019,6.8,Documentary,USA
Dragon Ball Z,1996,8.7,Animation| Action| Adventure| Fantasy| Sci-Fi| Thriller,Japan
Dark Side of the Ring,2019,8.7,Documentary| Drama| History| Sport,Canada
The Replacement,2017,6.6,Crime| Drama| Thriller,UK
Northern Exposure,1990,8.2,Comedy| Drama,USA
Markette,2004,6.9,Comedy| Music| Talk-Show,Italy
Iron Man: Armored Adventures,2008,6.5,Animation| Action| Adventure| Family| Fantasy| Sci-Fi,Canada
Eastwick,2009,6.4,Drama| Fantasy,USA
The Nanny,1993,6.9,Comedy| Family| Romance,USA
Cleo & Cuquin,2018,8.1,Animation| Family,Spain
Black Monday,2019,7.4,Comedy,USA
Polda,2016,6.9,Crime,Czech Republic
Benson,1979,7.1,Comedy| Family,USA
The Golden Girls,1985,7.9,Comedy| Drama,USA
Family Armor,2009,7.6,Reality-TV,USA
Studio 60 on the Sunset Strip,2006,8.2,Comedy| Drama,USA
Fugitives,2011,8.1,Action| Crime| Drama| Thriller,Chile
Golden Girls,2012,2.8,Comedy,Netherlands
Grandstand,1958,6.5,Sport,UK
Queen of the Game,2006,6.8,Drama,South Korea
Poldark,2015,8.3,Drama| History| Romance,UK
iCarly,2007,6.6,Comedy| Family| Romance,USA
Daria,1997,8.0,Animation| Comedy| Drama| Romance,USA
The Bobby Brown Story,2018,7.4,Biography| Drama| Music,USA
Vegas,2012,7.3,Action| Crime| Drama| Mystery| Western,USA
Medium,2005,6.9,Crime| Drama| Fantasy| Mystery| Thriller,USA
Gilligan's Island,1964,7.3,Comedy| Family,USA
Vega$,1978,6.7,Crime| Drama| Mystery,USA
Gen: Lock,2019,7.4,Animation| Action| Adventure| Fantasy| Sci-Fi,USA
Rosehaven,2016,7.8,Comedy,Australia
The Journeys,2010,6.8,Adventure| Drama| Fantasy,USA
Reality Hell,2009,7.0,Reality-TV,USA
Wyatt Cenac's Problem Areas,2018,6.5,Documentary| Comedy,USA
Hit the MARC,2011,8.4,Family,USA
The Baby Wait,2012,7.9,Reality-TV,USA
About Abby,2010,7.8,Comedy| Romance,USA
Ugly Delicious,2018,7.8,Documentary,USA
Mad About You,1992,6.6,Comedy| Romance,USA
Harry's Mad,1993,7.6,Comedy,UK
Soulmates,2018,8.8,Romance,India
The Birthday Boys,2013,7.3,Comedy,USA
The Jack and Triumph Show,2015,7.0,Comedy,USA
Warriors of Liberty City,2018,6.7,Documentary| Sport,USA
Hit the Road,2017,4.9,Comedy,USA
Pallas,1991,3.4,Comedy,UK
Graham's Gang,1977,7.6,Adventure| Comedy,UK
Problems,2012,7.7,Comedy,Australia
Nico,1995,4.5,Comedy| Family,Argentina
Benders,2015,6.4,Comedy,USA
Life and Times,1996,7.6,Documentary| Biography,Canada
Looser,2018,5.2,Comedy,Spain
*Loosely Exactly Nicole,2016,5.6,Comedy,USA
Hercules: The Legendary Journeys,1995,6.5,Action| Adventure| Drama| Fantasy| Romance,USA
Sneakerheads,2020,5.8,Comedy,USA
Golden Cross,2014,7.2,Drama,South Korea
Anthony Bourdain: Parts Unknown,2013,8.8,Documentary| Adventure,USA
Unsolved Mysteries,2020,7.4,Documentary| Crime| Mystery,USA
Anthony Ant,1999,6.4,Animation,UK
GCB,2012,7.0,Comedy| Drama,USA
Divorce,2016,6.8,Comedy| Drama,USA
The Jane Show,2004,4.2,Comedy,Canada
Coroner,2020,6.7,Crime| Drama| Mystery,Canada
Like Roses,2012,8.3,Romance,Egypt
Areta,2016,9.3,Comedy,Croatia
Jinn,2019,3.5,Drama| Fantasy| Horror| Sci-Fi,Jordan
Typewriter,2019,6.5,Horror| Thriller,India
Hell's Kitchen,2005,7.1,Game-Show| Reality-TV,USA
Wallander,2009,7.9,Crime| Drama| Mystery| Thriller,UK
ALF,1986,7.4,Comedy| Family| Sci-Fi,USA
Alim Dayi,1991,8.1,Comedy,Turkey
Home Improvement,1991,7.2,Comedy| Family,USA
Johnny Bravo,1997,7.2,Animation| Adventure| Comedy| Family,USA
Noughts + Crosses,2020,6.2,Drama| Romance| Sci-Fi,UK
Mesternes mester,2009,7.3,Sport,Norway
Atlantika,2006,6.7,Action| Adventure| Fantasy,Philippines
Call the Midwife,2012,8.4,Drama| History,UK
Transparent,2014,7.8,Comedy| Drama,USA
Unsolved,2004,7.4,Crime,Germany
Hood Adjacent with James Davis,2017,5.3,Comedy,USA
3rd & Bird,2011,7.6,Animation| Family,UK
3rd Rock from the Sun,1996,7.7,Comedy| Family| Sci-Fi,USA
Joe and Sons,1975,7.3,Comedy,USA
